Company,Date,Open,High,Low,Close,Adj Close,Volume
MSFT,1/4/2010,30.620001,31.1,30.59,30.950001,24.443624,38409100
MSFT,1/5/2010,30.85,31.1,30.639999,30.959999,24.451517,49749600
MSFT,1/6/2010,30.879999,31.08,30.52,30.77,24.301458,58182400
MSFT,1/7/2010,30.629999,30.700001,30.190001,30.450001,24.048725,50559700
MSFT,1/8/2010,30.280001,30.879999,30.24,30.66,24.214581,51197400
MSFT,1/11/2010,30.709999,30.76,30.120001,30.27,23.906574,68754700
MSFT,1/12/2010,30.15,30.4,29.91,30.07,23.748617,65912100
MSFT,1/13/2010,30.26,30.52,30.01,30.35,23.969755,51863500
MSFT,1/14/2010,30.309999,31.1,30.26,30.959999,24.451517,63228100
MSFT,1/15/2010,31.08,31.24,30.709999,30.860001,24.372541,79913200
MSFT,1/19/2010,30.75,31.24,30.68,31.1,24.562088,46575700
MSFT,1/20/2010,30.809999,30.940001,30.309999,30.59,24.159298,54849500
MSFT,1/21/2010,30.610001,30.719999,30,30.01,23.701231,73086700
MSFT,1/22/2010,30,30.200001,28.84,28.959999,22.871964,102004600
MSFT,1/25/2010,29.24,29.66,29.1,29.32,23.156281,63373000
MSFT,1/26/2010,29.200001,29.85,29.09,29.5,23.298449,66639900
MSFT,1/27/2010,29.35,29.82,29.02,29.67,23.432711,63949500
MSFT,1/28/2010,29.84,29.870001,28.889999,29.16,23.029911,117513700
MSFT,1/29/2010,29.9,29.92,27.66,28.18,22.255936,193888500
MSFT,2/1/2010,28.389999,28.48,27.92,28.41,22.43758,85931100
MSFT,2/2/2010,28.370001,28.5,28.139999,28.459999,22.477074,54413700
MSFT,2/3/2010,28.26,28.790001,28.120001,28.629999,22.61133,61397900
MSFT,2/4/2010,28.379999,28.5,27.809999,27.84,21.987413,77850000
MSFT,2/5/2010,28,28.280001,27.57,28.02,22.129574,80960100
MSFT,2/8/2010,28.01,28.08,27.57,27.719999,21.892639,52820600
MSFT,2/9/2010,27.969999,28.34,27.75,28.01,22.121681,59195800
MSFT,2/10/2010,28.030001,28.24,27.84,27.99,22.105875,48591300
MSFT,2/11/2010,27.93,28.4,27.700001,28.120001,22.208551,65993700
MSFT,2/12/2010,27.809999,28.059999,27.58,27.93,22.058493,81117200
MSFT,2/16/2010,28.129999,28.370001,28.02,28.35,22.4949,51935600
MSFT,2/17/2010,28.530001,28.65,28.360001,28.59,22.685335,45882900
MSFT,2/18/2010,28.59,29.030001,28.51,28.969999,22.986849,42856500
MSFT,2/19/2010,28.790001,28.92,28.690001,28.77,22.828156,44451800
MSFT,2/22/2010,28.84,28.940001,28.65,28.73,22.796413,36707100
MSFT,2/23/2010,28.68,28.83,28.09,28.33,22.479027,52266200
MSFT,2/24/2010,28.52,28.790001,28.379999,28.629999,22.717072,43165900
MSFT,2/25/2010,28.27,28.65,28.02,28.6,22.693262,48735300
MSFT,2/26/2010,28.65,28.85,28.51,28.67,22.74881,40370600
MSFT,3/1/2010,28.77,29.049999,28.530001,29.02,23.026525,43805400
MSFT,3/2/2010,29.08,29.299999,28.24,28.459999,22.58218,93123900
MSFT,3/3/2010,28.51,28.610001,28.35,28.459999,22.58218,48442100
MSFT,3/4/2010,28.459999,28.65,28.27,28.629999,22.717072,42890600
MSFT,3/5/2010,28.66,28.68,28.42,28.59,22.685335,56001800
MSFT,3/8/2010,28.52,28.93,28.5,28.629999,22.717072,39414500
MSFT,3/9/2010,28.559999,29.110001,28.549999,28.799999,22.851961,50271600
MSFT,3/10/2010,28.860001,29.110001,28.799999,28.969999,22.986849,44891400
MSFT,3/11/2010,28.889999,29.190001,28.85,29.18,23.153481,35349700
MSFT,3/12/2010,29.32,29.379999,29.040001,29.27,23.22489,31700200
MSFT,3/15/2010,29.18,29.370001,29.01,29.290001,23.240761,37512000
MSFT,3/16/2010,29.42,29.49,29.200001,29.370001,23.304245,36723500
MSFT,3/17/2010,29.5,29.870001,29.4,29.629999,23.51054,50385700
MSFT,3/18/2010,29.629999,29.719999,29.5,29.610001,23.494671,43845200
MSFT,3/19/2010,29.76,29.9,29.35,29.59,23.478806,81332100
MSFT,3/22/2010,29.5,29.700001,29.389999,29.6,23.486738,37718200
MSFT,3/23/2010,29.59,29.9,29.41,29.879999,23.70891,42026600
MSFT,3/24/2010,29.719999,29.85,29.6,29.65,23.526409,33987700
MSFT,3/25/2010,29.83,30.57,29.799999,30.01,23.812067,73168700
MSFT,3/26/2010,30.09,30.200001,29.59,29.66,23.534346,55595500
MSFT,3/29/2010,29.709999,29.82,29.549999,29.59,23.478806,33336000
MSFT,3/30/2010,29.629999,29.860001,29.5,29.77,23.621624,34954800
MSFT,3/31/2010,29.639999,29.719999,29.17,29.290001,23.240761,63760000
MSFT,4/1/2010,29.35,29.540001,28.620001,29.16,23.137602,74768100
MSFT,4/5/2010,29.129999,29.43,29.030001,29.27,23.22489,34331200
MSFT,4/6/2010,29.15,29.58,28.98,29.32,23.264566,47366800
MSFT,4/7/2010,29.16,29.559999,29.139999,29.35,23.288368,58318800
MSFT,4/8/2010,29.32,29.98,29.299999,29.92,23.740648,63713800
MSFT,4/9/2010,29.950001,30.41,29.9,30.34,24.073906,54752500
MSFT,4/12/2010,30.25,30.49,30.209999,30.32,24.058039,37068800
MSFT,4/13/2010,30.15,30.5,30.129999,30.450001,24.161182,41374600
MSFT,4/14/2010,30.790001,31,30.66,30.82,24.454775,68941200
MSFT,4/15/2010,30.82,30.950001,30.709999,30.870001,24.494444,52745400
MSFT,4/16/2010,30.790001,30.98,30.6,30.67,24.335752,88703100
MSFT,4/19/2010,30.77,31.25,30.76,31.040001,24.629333,64970300
MSFT,4/20/2010,31.219999,31.440001,31.129999,31.360001,24.883247,52199500
MSFT,4/21/2010,31.33,31.5,31.23,31.33,24.859444,55343100
MSFT,4/22/2010,31.040001,31.530001,30.9,31.389999,24.907049,84847600
MSFT,4/23/2010,31.120001,31.58,30.65,30.959999,24.565863,126766600
MSFT,4/26/2010,31,31.280001,30.860001,31.110001,24.684879,63649300
MSFT,4/27/2010,30.950001,31.25,30.75,30.85,24.478579,68730900
MSFT,4/28/2010,30.92,31,30.620001,30.91,24.526184,64557900
MSFT,4/29/2010,30.93,31.43,30.67,31,24.597599,52665200
MSFT,4/30/2010,31.07,31.08,30.52,30.540001,24.232599,63214800
MSFT,5/3/2010,30.67,31.059999,30.58,30.860001,24.486513,43989500
MSFT,5/4/2010,30.52,30.549999,29.75,30.129999,23.90728,82085600
MSFT,5/5/2010,29.77,30.09,29.690001,29.85,23.685106,66833800
MSFT,5/6/2010,29.59,29.879999,27.91,28.98,22.994791,128613000
MSFT,5/7/2010,28.93,28.950001,27.32,28.209999,22.383812,173718100
MSFT,5/10/2010,29.01,29.48,28.709999,28.940001,22.963049,86653300
MSFT,5/11/2010,28.68,29.65,28.57,28.879999,22.915438,63789400
MSFT,5/12/2010,28.98,29.58,28.92,29.440001,23.359783,47146800
MSFT,5/13/2010,29.26,29.73,29.18,29.24,23.201088,45188800
MSFT,5/14/2010,29.200001,29.209999,28.639999,28.93,22.955111,63334000
MSFT,5/17/2010,29.120001,29.23,28.450001,28.940001,22.963049,46053300
MSFT,5/18/2010,28.870001,29,28.4,28.6,22.795664,52690600
MSFT,5/19/2010,28.52,28.690001,27.790001,28.24,22.508722,61746700
MSFT,5/20/2010,27.65,27.84,27.040001,27.110001,21.608063,87991100
MSFT,5/21/2010,26.629999,27.110001,26.440001,26.84,21.392851,117596300
MSFT,5/24/2010,26.85,26.860001,26.26,26.27,20.93854,73711700
MSFT,5/25/2010,25.65,26.33,25.379999,26.07,20.779123,98373600
MSFT,5/26/2010,26.23,26.610001,24.559999,25.01,19.934248,176684100
MSFT,5/27/2010,25.73,26.360001,25.73,26,20.723331,136433600
MSFT,5/28/2010,25.84,26.120001,25.66,25.799999,20.563925,67496900
MSFT,6/1/2010,25.530001,26.309999,25.52,25.889999,20.635656,76152400
MSFT,6/2/2010,26.059999,26.48,25.73,26.459999,21.089975,65718800
MSFT,6/3/2010,26.549999,26.93,26.41,26.860001,21.408794,67837000
MSFT,6/4/2010,26.1,26.57,25.620001,25.790001,20.555954,89832200
MSFT,6/7/2010,25.82,25.83,25.24,25.290001,20.157429,80456200
MSFT,6/8/2010,25.25,25.26,24.65,25.110001,20.01396,87355000
MSFT,6/9/2010,25.219999,25.52,24.75,24.790001,19.758902,87794000
MSFT,6/10/2010,25.129999,25.15,24.780001,25,19.926279,78930900
MSFT,6/11/2010,25.040001,25.719999,24.77,25.66,20.452332,68057700
MSFT,6/14/2010,25.860001,25.959999,25.469999,25.5,20.324806,50972400
MSFT,6/15/2010,25.75,26.65,25.74,26.58,21.185617,81641500
MSFT,6/16/2010,26.469999,26.58,26.23,26.32,20.97839,48698000
MSFT,6/17/2010,26.559999,26.67,26.040001,26.370001,21.018238,47995500
MSFT,6/18/2010,26.370001,26.530001,26.17,26.440001,21.07403,52075600
MSFT,6/21/2010,26.780001,26.889999,25.889999,25.950001,20.683479,54625300
MSFT,6/22/2010,26.16,26.450001,25.76,25.77,20.540009,55985400
MSFT,6/23/2010,25.780001,25.780001,25.219999,25.309999,20.17337,61466200
MSFT,6/24/2010,25.459999,25.719999,24.93,25,19.926279,85243400
MSFT,6/25/2010,25.049999,25.110001,24.309999,24.530001,19.551666,156256700
MSFT,6/28/2010,24.51,24.610001,24.120001,24.309999,19.376314,73784800
MSFT,6/29/2010,24.129999,24.200001,23.110001,23.309999,18.579264,119882100
MSFT,6/30/2010,23.299999,23.68,22.950001,23.01,18.340149,81050500
MSFT,7/1/2010,23.09,23.32,22.73,23.16,18.459715,92239400
MSFT,7/2/2010,23.360001,23.48,23.049999,23.27,18.547382,62485100
MSFT,7/6/2010,23.700001,24.09,23.58,23.82,18.98576,73592000
MSFT,7/7/2010,23.82,24.32,23.610001,24.299999,19.368347,79965300
MSFT,7/8/2010,24.6,24.620001,23.969999,24.41,19.456018,50758100
MSFT,7/9/2010,24.33,24.41,24.15,24.27,19.344431,53806100
MSFT,7/12/2010,24.43,24.889999,24.42,24.83,19.790783,49854200
MSFT,7/13/2010,25.139999,25.299999,24.9,25.129999,20.029903,61928700
